date,family,method,method_label,fund,return,growth_1
2021-10-19,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.010329647449427215,1.442255736121591
2021-10-20,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.016666448080226326,1.4662930164660701
2021-10-21,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0060351845337632826,1.457443667531129
2021-10-22,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0008630902758753889,1.4561857620740468
2021-10-25,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.008726217566526584,1.4688927558511833
2021-10-26,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0017232800081516952,1.4714240693714604
2021-10-27,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.029782978307383634,1.427600678232408
2021-10-28,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0167376817763214,1.4514954040883226
2021-10-29,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.002926608822289678,1.4557433633434405
2021-11-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005496539455518867,1.4637449141771675
2021-11-02,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.009275863422753217,1.4773224120868245
2021-11-03,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0069951563770664915,1.487656513378717
2021-11-04,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.00045052615204554947,1.4869862852141789
2021-11-05,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0019122523554517823,1.4898297782406043
2021-11-08,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.013235330178001714,1.5095481672646378
2021-11-09,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.009391070491774567,1.5237244405141492
2021-11-10,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.015665622593005857,1.4998543484933156
2021-11-11,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0030787305041741764,1.5044719958278403
2021-11-12,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0019728307779655063,1.501503927169884
2021-11-15,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.003417532182750982,1.496372489176254
2021-11-16,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.014345148643287953,1.4749068033932937
2021-11-17,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.004478260478130713,1.4683017865467314
2021-11-18,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.011407633511942294,1.451551937880876
2021-11-19,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.000986362570833954,1.4529836943820233
2021-11-22,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.004581213867726697,1.4463272653317396
2021-11-23,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.009431161960641532,1.459967812019175
2021-11-24,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.002259351176869151,1.4566692320248984
